fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,6
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
6.8,0.28,0.44,11.5,0.04,58,223,0.9969,3.22,0.56,9.5,5
6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
7,0.22,0.39,2.1,0.055,39,198,0.9951,3.52,0.54,10.2,6
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
9.4,0.3,0.32,10.7,0.029,14,111,0.9958,2.85,0.42,10.6,5
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
